"","year","facility","city","state","facilityClergy","bishop","cmdmWorker","serviceRegularity","serviceFrequency","place","lat","lng"
"342",1875,"Christ Church","Newton","New Jersey","W.H. Moffett","William H. Odenheimer","","itinerant","","Newton, New Jersey",41.0582103,-74.7530943
"343",1876,"Grace Church","Elizabeth","New Jersey","Rev. Mr. Stoddard","John Scarborough","Gallaudet, Chamberlain","Itinerant","intermittent","Elizabeth, New Jersey",40.6639916,-74.2107006
"344",1876,"Trinity Church","Newark","New Jersey","Rev. Mr. Newton","William H. Odenheimer","Gallaudet, Chamberlain","Itinerant","intermittent","Newark, New Jersey",40.735657,-74.1723667
"345",1877,"Trinity Church","Elizabeth","New Jersey","F. Marion McAllister","John Scarborough","Gallaudet","promotional","once","Elizabeth, New Jersey",40.6639916,-74.2107006
"346",1877,"Trinity Church","Newark","New Jersey","J. Houston Eccleston","William H. Odenheimer","Gallaudet","Itinerant","once","Newark, New Jersey",40.735657,-74.1723667
"347",1877,"Grace Church","Jersey City","New Jersey","Spencer M. Rice","William H. Odenheimer","James Lewis","Itinerant","once","Jersey City, New Jersey",40.7281575,-74.0776417
"348",1877,"St. John's Church","Elizabeth","New Jersey","William S. Langford","John Scarborough","Gallaudet","promotional","once","Elizabeth, New Jersey",40.6639916,-74.2107006
"349",1878,"St. John's Church","Newark","New Jersey","George C. Pennell","William H. Odenheimer","George C. Pennell","occasional","bimonthly","Newark, New Jersey",40.735657,-74.1723667
"350",1878,"Trinity Mission Chapel","Newark","New Jersey","J. Houston Eccleston","William H. Odenheimer","Pennell, Gallaudet","itinerant","once","Newark, New Jersey",40.735657,-74.1723667
"351",1879,"St. John's Church","Newark","New Jersey","George C. Pennell","William H. Odenheimer","Pennell","regular","biweekly","Newark, New Jersey",40.735657,-74.1723667
"352",1879,"Trinity Mission Chapel","Newark","New Jersey","J. Houston Eccleston","William H. Odenheimer","Pennell, Gallaudet","regular","biweekly","Newark, New Jersey",40.735657,-74.1723667
"353",1880,"Trinity Mission Chapel","Newark","New Jersey","J. Houston Eccleston","William H. Odenheimer","George C. Pennell","occasional","intermittent","Newark, New Jersey",40.735657,-74.1723667
"354",1880,"","","New Jersey","","","Syle","","",", New Jersey",NA,NA
"355",1860,"St. Stephen's Church","Milburn","New Jersey","George C. Pennell","William H. Odenheimer","Thomas Gallaudet","occasional","once","Milburn, New Jersey",40.7247515,-74.2995152
"356",1850,"St. Stephen's Church","New York City","New York","Rev. Dr. Price","John Mayhew Wainwright","Thomas Gallaudet","regular","weekly","New York City, New York",40.7127281,-74.0060152
"357",1850,"School Room, 59 Bond St.","New York City","New York","Thomas Gallaudet","John Mayhew Wainwright","Thomas Gallaudet","regular","weekly","New York City, New York",40.7127281,-74.0060152
"358",1851,"School Room, 59 Bond St.","New York City","New York","Thomas Gallaudet","John Mayhew Wainwright","Thomas Gallaudet","regular","weekly","New York City, New York",40.7127281,-74.0060152
"359",1852,"New York University Chapel","New York City","New York","Thomas Gallaudet","John Mayhew Wainwright","Thomas Gallaudet","regular","weekly","New York City, New York",40.7127281,-74.0060152
"360",1853,"New York University Chapel","New York City","New York","Thomas Gallaudet","John Mayhew Wainwright","Thomas Gallaudet","regular","weekly","New York City, New York",40.7127281,-74.0060152
"361",1854,"New York University Chapel","New York City","New York","Thomas Gallaudet","John Mayhew Wainwright","Thomas Gallaudet","regular","weekly","New York City, New York",40.7127281,-74.0060152
"362",1855,"New York University Chapel","New York City","New York","Thomas Gallaudet","Horatio Potter","Thomas Gallaudet","regular","weekly","New York City, New York",40.7127281,-74.0060152
"363",1856,"","Mabbettsville","New York","","Horatio Potter","Thomas Gallaudet","itinerant","once","Mabbettsville, New York",41.7925937,-73.6595723
"364",1856,"St. Thomas' Church","Mamaroneck","New York","John M. Ward","Horatio Potter","Thomas Gallaudet","itinerant","once","Mamaroneck, New York",40.9487097,-73.7326309
"365",1856,"New York University Chapel","New York City","New York","Thomas Gallaudet","Horatio Potter","Thomas Gallaudet","regular","weekly","New York City, New York",40.7127281,-74.0060152
"366",1856,"","Watervliet","New York","","Horatio Potter","Thomas Gallaudet","itinerant","once","Watervliet, New York",42.7300784,-73.7012299
"367",1857,"Presbyterian Church","Mexico","New York","","Horatio Potter","Thomas Gallaudet","itinerant","once","Mexico, New York",35.0586534,-107.527271
"368",1857,"private residence","New York City","New York","","Horatio Potter","Thomas Gallaudet","occasional","once","New York City, New York",40.7127281,-74.0060152
"369",1857,"New York University Chapel","New York City","New York","Thomas Gallaudet","Horatio Potter","Thomas Gallaudet","regular","weekly","New York City, New York",40.7127281,-74.0060152
"370",1857,"New York Historical Society","New York City","New York","Thomas Gallaudet","Horatio Potter","Thomas Gallaudet","regular","weekly","New York City, New York",40.7127281,-74.0060152
"371",1858,"New York Historical Society","New York City","New York","Thomas Gallaudet","Horatio Potter","Thomas Gallaudet","regular","weekly","New York City, New York",40.7127281,-74.0060152
"372",1858,"St. Peter's Church","Albany","New York","Thomas C. Pitkin","Horatio Potter","Thomas Gallaudet","promotional","once","Albany, New York",40.7127281,-74.0060152
"373",1858,"St. Peter's Church","Albany","New York","Thomas C. Pitkin","Horatio Potter","Thomas Gallaudet","itinerant","once","Albany, New York",40.7127281,-74.0060152
"374",1858,"St. John's Church","Buffalo","New York","William B. Ashley","William H. De Lancey","Thomas Gallaudet","promotional","once","Buffalo, New York",42.8867166,-78.8783922
"375",1858,"St. John's Church","Buffalo","New York","William B. Ashley","William H. De Lancey","Thomas Gallaudet","itinerant","once","Buffalo, New York",42.8867166,-78.8783922
"376",1859,"New York Historical Society","New York City","New York","Thomas Gallaudet","Horatio Potter","Thomas Gallaudet","regular","weekly","New York City, New York",40.7127281,-74.0060152
"377",1859,"St. Ann's Church","New York City","New York","Thomas Gallaudet","Horatio Potter","Thomas Gallaudet","regular","weekly","New York City, New York",40.7127281,-74.0060152
"378",1859,"St. Paul's Church","Albany","New York","William Rudder","Horatio Potter","Thomas Gallaudet","","","Albany, New York",40.7127281,-74.0060152
"379",1860,"St. Ann's Church","New York City","New York","Thomas Gallaudet","Horatio Potter","Thomas Gallaudet","regular","weekly","New York City, New York",40.7127281,-74.0060152
"380",1861,"St. Paul's Church","Albany","New York","William Rudder","Horatio Potter","Thomas Gallaudet","regular","intermmittent","Albany, New York",40.7127281,-74.0060152
"381",1861,"St. Ann's Church","New York City","New York","Thomas Gallaudet","Horatio Potter","Thomas Gallaudet","regular","weekly","New York City, New York",40.7127281,-74.0060152
"382",1862,"St. Paul's Church","Albany","New York","William Rudder","Horatio Potter","Thomas Gallaudet","regular","intermmittent","Albany, New York",40.7127281,-74.0060152
"383",1863,"St. Paul's Church","Albany","New York","William Rudder","Horatio Potter","Thomas Gallaudet","regular","intermmittent","Albany, New York",40.7127281,-74.0060152
"384",1862,"St. Ann's Church","New York City","New York","Thomas Gallaudet","Horatio Potter","Thomas Gallaudet","regular","weekly","New York City, New York",40.7127281,-74.0060152
"385",1863,"St. Ann's Church","New York City","New York","Thomas Gallaudet","Horatio Potter","Thomas Gallaudet","regular","weekly","New York City, New York",40.7127281,-74.0060152
"386",1864,"St. Paul's Church","Albany","New York","J. Livingston Reese","Horatio Potter","Thomas Gallaudet","regular","monthly","Albany, New York",40.7127281,-74.0060152
"387",1864,"St. Ann's Church","New York City","New York","Thomas Gallaudet","Horatio Potter","Thomas Gallaudet","regular","weekly","New York City, New York",40.7127281,-74.0060152
"388",1865,"St. Paul's Church","Albany","New York","J. Livingston Reese","Horatio Potter","Gallaudet, Benjamin","regular","monthly","Albany, New York",40.7127281,-74.0060152
"389",1865,"St. Paul's Church","Syracuse","New York","George M. Hills","Arthur C. Coxe","Gallaudet, Pennell","itinerant","once","Syracuse, New York",43.0481221,-76.1474244
"390",1865,"St. Ann's Church","New York City","New York","Thomas Gallaudet","Horatio Potter","Thomas Gallaudet","regular","weekly","New York City, New York",40.7127281,-74.0060152
"391",1865,"Grace Church","Buffalo","New York","George C. Pennell","Arthur C. Coxe","George C. Pennell","regular","monthly","Buffalo, New York",42.8867166,-78.8783922
"392",1865,"Grace Church","Rochester","New York","Israel Foote","Arthur C. Coxe","George C. Pennell","itinerant","once","Rochester, New York",43.157285,-77.615214
"393",1865,"Zion Church","Palmyra","New York","John Leech","Arthur C. Coxe","George C. Pennell","itinerant","once","Palmyra, New York",43.0623754,-77.2347245
"394",1866,"St. Paul's Church","Albany","New York","J. Livingston Reese","Horatio Potter","Gallaudet, Benjamin","regular","monthly","Albany, New York",40.7127281,-74.0060152
"395",1866,"St. Ann's Church","New York City","New York","Thomas Gallaudet","Horatio Potter","Thomas Gallaudet","regular","weekly","New York City, New York",40.7127281,-74.0060152
"396",1866,"Grace Church","Buffalo","New York","George C. Pennell","Arthur C. Coxe","George C. Pennell","regular","monthly","Buffalo, New York",42.8867166,-78.8783922
"397",1867,"St. Paul's Church","Albany","New York","J. Livingston Reese","Horatio Potter","Gallaudet, Benjamin","regular","monthly","Albany, New York",40.7127281,-74.0060152
"398",1867,"St. Ann's Church","New York City","New York","Thomas Gallaudet","Horatio Potter","Thomas Gallaudet","regular","weekly","New York City, New York",40.7127281,-74.0060152
"399",1867,"Grace Church","Buffalo","New York","Charles G. Gilliat","Arthur C. Coxe","George C. Pennell","regular","monthly","Buffalo, New York",42.8867166,-78.8783922
"400",1868,"St. Paul's Church","Albany","New York","J. Livingston Reese","Horatio Potter","Gallaudet, Benjamin","regular","monthly","Albany, New York",40.7127281,-74.0060152
"401",1868,"St. Ann's Church","New York City","New York","Thomas Gallaudet","Horatio Potter","Thomas Gallaudet","regular","weekly","New York City, New York",40.7127281,-74.0060152
"402",1868,"Grace Church","Buffalo","New York","Charles G. Gilliat","Arthur C. Coxe","George C. Pennell","regular","monthly","Buffalo, New York",42.8867166,-78.8783922
"403",1869,"St. Paul's Church","Albany","New York","J. Livingston Reese","William C. Doane","Gallaudet, Benjamin","regular","monthly","Albany, New York",40.7127281,-74.0060152
"404",1869,"St. John's Church","Ithaca","New York","John W. Payne","Frederic D. Huntington","Thomas Gallaudet","itinerant","once","Ithaca, New York",42.4396039,-76.4968019
"405",1869,"St. Ann's Church","New York City","New York","Thomas Gallaudet","Horatio Potter","Thomas Gallaudet","regular","weekly","New York City, New York",40.7127281,-74.0060152
"406",1870,"St. Paul's Church","Albany","New York","J. Livingston Reese","William C. Doane","Gallaudet, Benjamin","regular","monthly","Albany, New York",40.7127281,-74.0060152
"407",1870,"St. Ann's Church","New York City","New York","Thomas Gallaudet","Horatio Potter","Thomas Gallaudet","regular","weekly","New York City, New York",40.7127281,-74.0060152
"408",1871,"St. Paul's Church","Albany","New York","J. Livingston Reese","William C. Doane","Gallaudet, Benjamin","regular","monthly","Albany, New York",40.7127281,-74.0060152
"409",1871,"St. Ann's Church","New York City","New York","Thomas Gallaudet","Horatio Potter","Thomas Gallaudet","regular","weekly","New York City, New York",40.7127281,-74.0060152
"410",1872,"St. Paul's Church","Albany","New York","J. Livingston Reese","William C. Doane","Gallaudet, Benjamin","regular","monthly","Albany, New York",40.7127281,-74.0060152
"411",1872,"St. Ann's Church","New York City","New York","Thomas Gallaudet","Horatio Potter","Thomas Gallaudet","regular","weekly","New York City, New York",40.7127281,-74.0060152
"412",1872,"St. Paul's Chapel","Troy","New York","Walker Gwynne","William C. Doane","","","","Troy, New York",40.7402557,-74.0055355
"413",1873,"Grace Church","Mexico","New York","George H. Watson","Frederic D. Huntington","","","","Mexico, New York",35.0586534,-107.527271
"414",1873,"Trinity Church","Watertown","New York","Leigh R. Brewer","Frederic D. Huntington","","","","Watertown, New York",43.9747838,-75.9107565
"415",1873,"Grace Church","Watertown","New York","John A. Staunton","Frederic D. Huntington","","","","Watertown, New York",43.9747838,-75.9107565
"416",1873,"Grace Church","Syracuse","New York","Thomas Pattison","Frederic D. Huntington","","","","Syracuse, New York",43.0481221,-76.1474244
"417",1873,"Trinity Church","Syracuse","New York","J.E. Pratt","Frederic D. Huntington","","","","Syracuse, New York",43.0481221,-76.1474244
"418",1873,"St. Ann's Church","New York City","New York","Thomas Gallaudet","Horatio Potter","Gallaudet, Chamberlain","regular","weekly","New York City, New York",40.7127281,-74.0060152
"419",1873,"St. Paul's Church","Albany","New York","J. Livingston Reese","William C. Doane","Thomas B. Berry","regular","monthly","Albany, New York",40.7127281,-74.0060152
"420",1873,"St. Paul's Chapel","Troy","New York","Walker Gwynne","William C. Doane","","","","Troy, New York",40.7402557,-74.0055355
"421",1873,"St. Mark's Church","Tarrytown","New York","Edmund Guilbert","Horatio Potter","","","","Tarrytown, New York",41.065586,-73.8673293
"422",1873,"St. Peter's Church","Portchester","New York","Brockholst Morgan","Horatio Potter","","","","Portchester, New York",41.6351571,-73.5656318
"423",1873,"Zion Church","Rome","New York","Hugh L.M. Clarke","Frederic D. Huntington","","","","Rome, New York",43.2128473,-75.4557304
"424",1873,"Trinity Church","Geneva","New York","William S. Perry","Arthur C. Coxe","","","","Geneva, New York",42.8690271,-76.9786122
"425",1873,"St. Luke's Church","Rochester","New York","Henry Anstice","Arthur C. Coxe","","","","Rochester, New York",43.157285,-77.615214
"426",1873,"Christ Church","Rochester","New York","W.W. Battershall","Arthur C. Coxe","","","","Rochester, New York",43.157285,-77.615214
"427",1873,"Christ Church","Buffalo","New York","O. Witherspoon","Arthur C. Coxe","","","","Buffalo, New York",42.8867166,-78.8783922
"428",1873,"St. Mary's Church","New York City","New York","Charles S. Knapp","Horatio Potter","","","","New York City, New York",40.7127281,-74.0060152
"429",1873,"Church of the Messiah","New York City","New York","William H. Josephus","Horatio Potter","","","","New York City, New York",40.7127281,-74.0060152
"430",1874,"St. Ann's Church","New York City","New York","Thomas Gallaudet","Horatio Potter","Gallaudet, Chamberlain","regular","weekly","New York City, New York",40.7127281,-74.0060152
"431",1874,"St. Paul's Church","Albany","New York","J. Livingston Reese","William C. Doane","Thomas B. Berry","regular","monthly","Albany, New York",40.7127281,-74.0060152
"432",1874,"St. Mary's Church","New York City","New York","Daniel V.M. Johnson","Abram N. Littlejohn","","occasional","","New York City, New York",40.7127281,-74.0060152
"433",1874,"Christ Church","Rochester","New York","Walton W. Battershall","Arthur C. Coxe","John C. Acker, Gallaudet, Berry","regular","","Rochester, New York",43.157285,-77.615214
"434",1874,"St. Paul's Chapel","Troy","New York","Walker Gwynne","William C. Doane","Thomas Berry","regular","monthly","Troy, New York",40.7402557,-74.0055355
"435",1874,"Grace Church","Mexico","New York","Benjamin T. Hall","Frederic D. Huntington","","occasional","","Mexico, New York",35.0586534,-107.527271
"436",1874,"St. James' Church","Syracuse","New York","Joseph M. Clarke","Frederic D. Huntington","","occasional","","Syracuse, New York",43.0481221,-76.1474244
"437",1874,"Grace Church","Cherry Valley","New York","Henry H. Oberly","William C. Doane","","occasional","","Cherry Valley, New York",42.7956295,-74.7532018
"438",1874,"Good Shepherd","Canajoharie","New York","R. Andrews Poole","William C. Doane","","occasional","","Canajoharie, New York",42.9056288,-74.5718073
"439",1874,"Trinity Church","Potsdam","New York","Henry R. Howard","William C. Doane","","occasional","","Potsdam, New York",44.6697996,-74.9813349
"440",1874,"Christ Church","Buffalo","New York","Orlando Witherspoon","Arthur C. Coxe","","occasional","","Buffalo, New York",42.8867166,-78.8783922
"441",1874,"St. Mark's Church","Tarrytown","New York","Edmund Guilbert","Horatio Potter","","occasional","","Tarrytown, New York",41.065586,-73.8673293
"442",1875,"Trinity Church","Watertown","New York","Leigh R. Brewer","Frederic D. Huntington","Gallaudet and Berry","promotional","once","Watertown, New York",43.9747838,-75.9107565
"443",1875,"St. Paul's Church","Albany","New York","J. Livingston Reese","William C. Doane","Gallaudet ","regular","quarterly","Albany, New York",40.7127281,-74.0060152
"444",1875,"St. Ann's Church","New York City","New York","Thomas Gallaudet","Horatio Potter","Gallaudet, Chamberlain","regular","weekly","New York City, New York",40.7127281,-74.0060152
"445",1875,"St. Mary's Church","New York City","New York","Daniel V.M. Johnson","Abram N. Littlejohn","Gallaudet, Chamberlain, Wells, Lewis","regular","monthly","New York City, New York",40.7127281,-74.0060152
"446",1875,"private residences","New York City","New York","","Horatio Potter","James Lewis","occasional","intermittent","New York City, New York",40.7127281,-74.0060152
"447",1875,"St. Mary's Church","New York City","New York","Christopher S. Stephenson","Horatio Potter","","itinerant","","New York City, New York",40.7127281,-74.0060152
"448",1875,"St. Luke's Church","Rochester","New York","Henry Anstice","Arthur C. Coxe","John C. Acker","regular","weekly","Rochester, New York",43.157285,-77.615214
"449",1875,"Trinity Church","Potsdam","New York","Henry R. Howard","William C. Doane","Thomas B. Berry","itinerant","once","Potsdam, New York",44.6697996,-74.9813349
"450",1875,"St. Paul's Chapel","Troy","New York","Walker Gwynne","William C. Doane","Thomas Berry","regular","monthly","Troy, New York",40.7402557,-74.0055355
"451",1875,"Grace Church","Mexico","New York","William L. Parker","Frederic D. Huntington","","itinerant","","Mexico, New York",35.0586534,-107.527271
"452",1875,"St. Mark's Church","Tarrytown","New York","","Horatio Potter","","itinerant","","Tarrytown, New York",41.065586,-73.8673293
"453",1875,"St. Mark's Church","New York City","New York","J.H. Rylance","Horatio Potter","","itinerant","","New York City, New York",40.7127281,-74.0060152
"454",1875,"St. Andrew's Church","New York City","New York","George B. Draper","Horatio Potter","","itinerant","","New York City, New York",40.7127281,-74.0060152
"455",1876,"St. Paul's Church","Albany","New York","J. Livingston Reese","William C. Doane","Gallaudet","regular","quarterly","Albany, New York",40.7127281,-74.0060152
"456",1876,"St. Ann's Church","New York City","New York","Thomas Gallaudet","Horatio Potter","Gallaudet, Chamberlain","regular","weekly","New York City, New York",40.7127281,-74.0060152
"457",1876,"St. Mary's Church","New York City","New York","Christopher S. Stephenson","Horatio Potter","Gallaudet, Chamberlain","Itinerant","intermittent","New York City, New York",40.7127281,-74.0060152
"458",1876,"St. Mary's Church","New York City","New York","Daniel V.M. Johnson","Abram N. Littlejohn","Gallaudet, Chamberlain or Lewis","regular","monthly","New York City, New York",40.7127281,-74.0060152
"459",1876,"private residences","New York City","New York","","Horatio Potter","James Lewis","occasional","intermittent","New York City, New York",40.7127281,-74.0060152
"460",1876,"Zion Church","Rome","New York","Hugh L.M. Clarke","Frederic D. Huntington","Gallaudet, Chamberlain","Itinerant","intermittent","Rome, New York",43.2128473,-75.4557304
"461",1876,"St. James Church","New York City","New York","C.B. Smith","Horatio Potter","Gallaudet, Chamberlain","Itinerant","intermittent","New York City, New York",40.7127281,-74.0060152
"462",1876,"Grace Church","Mexico","New York","Richard M. Hayden","Frederic D. Huntington","Gallaudet, Chamberlain","Itinerant","intermittent","Mexico, New York",35.0586534,-107.527271
"463",1876,"Trinity Church","Lansingburgh","New York","Byron J. Hall","William C. Doane","Gallaudet, Chamberlain","Itinerant","intermittent","Lansingburgh, New York",42.7845222,-73.6695624
"464",1876,"St. James Church","Syracuse","New York","Rev. Dr. Clarke","Frederic D. Huntington","Gallaudet, Chamberlain","Itinerant","intermittent","Syracuse, New York",43.0481221,-76.1474244
"465",1876,"St. Luke's Church","New York City","New York","Jacob W. Diller","Abram N. Littlejohn","Gallaudet, Chamberlain","Itinerant","intermittent","New York City, New York",40.7127281,-74.0060152
"466",1876,"St. Ann's Church","New York City","New York","Noah H. Schenck","Abram N. Littlejohn","Gallaudet, Chamberlain","Itinerant","intermittent","New York City, New York",40.7127281,-74.0060152
"467",1876,"Grace Church","New York City","New York","William A. Snively","Abram N. Littlejohn","Gallaudet, Chamberlain","Itinerant","intermittent","New York City, New York",40.7127281,-74.0060152
"468",1876,"St. Paul's Church","New York City","New York","Albert U. Stanley","Horatio Potter","Gallaudet, Chamberlain","Itinerant","intermittent","New York City, New York",40.7127281,-74.0060152
"469",1876,"Grace Church","Utica","New York","Rev. Dr. Van Deusen","Frederic D. Huntington","Gallaudet, Chamberlain","Itinerant","intermittent","Utica, New York",43.1009031,-75.2326641
"470",1876,"St. Mark's Church","New York City","New York","Samuel M. Haskins","Abram N. Littlejohn","Gallaudet, Chamberlain","Itinerant","intermittent","New York City, New York",40.7127281,-74.0060152
"471",1876,"St. James' Church","New York City","New York","Charles W. Homer","Abram N. Littlejohn","Gallaudet, Chamberlain","Itinerant","intermittent","New York City, New York",40.7127281,-74.0060152
"472",1876,"Church of the Intercession","New York City","New York","E.W. Donald","Horatio Potter","Gallaudet, Chamberlain","Itinerant","intermittent","New York City, New York",40.7127281,-74.0060152
"473",1876,"St. Peter's Church","Port Chester","New York","Brockholst Morgan","Horatio Potter","Gallaudet, Chamberlain","Itinerant","intermittent","Port Chester, New York",41.0017643,-73.6656834
"474",1876,"Trinity Church","Granville","New York","Thomas B. Berry","William C. Doane","Gallaudet, Chamberlain","Itinerant","intermittent","Granville, New York",43.408041,-73.259583
"475",1876,"Grace Church","Cherry Valley","New York","Reeve Hobbie","William C. Doane","Gallaudet, Chamberlain","Itinerant","intermittent","Cherry Valley, New York",42.7956295,-74.7532018
"476",1876,"St. Paul's Church","Kinderhook","New York","Newton Dexter","William C. Doane","Gallaudet, Chamberlain","Itinerant","intermittent","Kinderhook, New York",42.3953617,-73.6978983
"477",1876,"Trinity Church","Potsdam","New York","Henry R. Howard","William C. Doane","George C. Pennell","itinerant","intermittent","Potsdam, New York",44.6697996,-74.9813349
"478",1876,"St. Luke's Church","Rochester","New York","Henry Anstice","Arthur C. Coxe","John C. Acker","regular","weekly","Rochester, New York",43.157285,-77.615214
"479",1876,"St. Paul's Church","Troy","New York","Francis Harison","William C. Doane","Thomas Berry","regular","monthly","Troy, New York",40.7402557,-74.0055355
"480",1877,"St. Ann's Church","New York City","New York","Thomas Gallaudet","Horatio Potter","Gallaudet, Chamberlain","regular","weekly","New York City, New York",40.7127281,-74.0060152
"481",1877,"St. Paul's Church","Albany","New York","J. Livingston Reese","William C. Doane","Gallaudet","regular","quarterly","Albany, New York",40.7127281,-74.0060152
"482",1877,"St. Luke's Church","Rochester","New York","Henry Anstice","Arthur C. Coxe","Gallaudet","itinerant","once","Rochester, New York",43.157285,-77.615214
"483",1877,"Church of the Intercession","New York City","New York","E. Winchester Donald","Horatio Potter","Gallaudet","occasional","intermittent","New York City, New York",40.7127281,-74.0060152
"484",1877,"St. Luke's Church","New York City","New York","Isaac H. Tuttle","Horatio Potter","Gallaudet","promotional","once","New York City, New York",40.7127281,-74.0060152
"485",1877,"Church of the Redeemer","New York City","New York","J.W. Shackelford","Horatio Potter","Gallaudet","promotional","once","New York City, New York",40.7127281,-74.0060152
"486",1877,"Zion Church","Rome","New York","Hugh L.M. Clarke","Frederic D. Huntington","Gallaudet and Mann","Itinerant","once","Rome, New York",43.2128473,-75.4557304
"487",1877,"Trinity Church","Granville","New York","Thomas B. Berry","William C. Doane","Gallaudet, Berry","occasional","intermittent","Granville, New York",43.408041,-73.259583
"488",1877,"St. Mary's Church","New York City","New York","Charles C. Adams","Horatio Potter","Gallaudet, Chamberlain","Itinerant","intermittent","New York City, New York",40.7127281,-74.0060152
"489",1877,"St. Mary's Church","New York City","New York","Daniel V.M. Johnson","Abram N. Littlejohn","Gallaudet, Chamberlain, Lewis","regular","monthly","New York City, New York",40.7127281,-74.0060152
"490",1877,"Grace Church","Elmira","New York","Francis D. Hoskins","Frederic D. Huntington","Gallaudet, Mann, Turner","Itinerant","once ","Elmira, New York",42.0897965,-76.8077338
"491",1877,"Trinity Church","Potsdam","New York","Henry R. Howard","William C. Doane","George C. Pennell","occasional","intermittent","Potsdam, New York",44.6697996,-74.9813349
"492",1877,"private residences","New York City","New York","","","James Lewis","occasional","intermittent","New York City, New York",40.7127281,-74.0060152
"493",1877,"","New York City","New York","","","Job Turner","Itinerant","intermittent","New York City, New York",40.7127281,-74.0060152
"494",1877,"St Paul's Church","Owego","New York","James H. Kidder","Frederic D. Huntington","Job Turner","Itinerant","once","Owego, New York",42.1033319,-76.2621898
"495",1877,"St. Luke's Church","Rochester","New York","Henry Anstice","Arthur C. Coxe","John C. Acker","regular","weekly","Rochester, New York",43.157285,-77.615214
"496",1877,"St. James' Church","Pulaski","New York","James P. Foster","Frederic D. Huntington","Mann and Gallaudet","promotional","once","Pulaski, New York",43.567014,-76.127703
"497",1877,"St. Paul's Church","Troy","New York","Francis Harison","William C. Doane","Thomas Berry","regular","monthly","Troy, New York",40.7402557,-74.0055355
"498",1878,"St. Ann's Church","New York City","New York","Thomas Gallaudet","Horatio Potter","Gallaudet, Chamberlain, Lewis","regular","weekly","New York City, New York",40.7127281,-74.0060152
"499",1878,"St. Paul's Church","Albany","New York","J. Livingston Reese","William C. Doane","Gallaudet","regular","quarterly","Albany, New York",40.7127281,-74.0060152
"500",1878,"St. Paul's Church","Troy","New York","Francis Harrison","William C. Doane","Gallaudet","","","Troy, New York",40.7402557,-74.0055355
"501",1878,"Trinity Church","Geneva","New York","Henry W. Nelson Jr.","Arthur C. Coxe","Gallaudet","itinerant","intermittent","Geneva, New York",42.8690271,-76.9786122
"502",1878,"St. Ann's Church","New York City","New York","Noah H. Schenck","Abram N. Littlejohn","Gallaudet","regular","monthly","New York City, New York",40.7127281,-74.0060152
"503",1878,"Christ Church","New York City","New York","Alfred H. Partridge","Abram N. Littlejohn","Gallaudet","occasional","monthly","New York City, New York",40.7127281,-74.0060152
"504",1878,"Zion Church","Rome","New York","Hugh L.M. Clarke","Frederic D. Huntington","Gallaudet","Itinerant","intermittent","Rome, New York",43.2128473,-75.4557304
"505",1878,"St. Luke's Church","New York City","New York","Isaac H. Tuttle","Horatio Potter","Gallaudet","promotional","once","New York City, New York",40.7127281,-74.0060152
"506",1878,"St John's Church","Cohoes","New York","Walker Gwynne","William C. Doane","Gallaudet","Itinerant","once","Cohoes, New York",42.7742446,-73.7001187
"507",1878,"Christ Church","Ballston Spa","New York","Walter Delafield","William C. Doane","Gallaudet","Itinerant","once","Ballston Spa, New York",43.0009087,-73.8490111
"508",1878,"Church of the Intercession","New York City","New York","Elijah W. Donald","Horatio Potter","Gallaudet","Itinerant","once","New York City, New York",40.7127281,-74.0060152
"509",1878,"Bethesda Church","Saratoga Springs","New York","Joseph Carey","William C. Doane","Gallaudet","Itinerant","once","Saratoga Springs, New York",43.0821793,-73.7853915
"510",1878,"Church of the Holy Spirit","New York City","New York","Edmund Guilbert","Horatio Potter","Gallaudet","promotional","once","New York City, New York",40.7127281,-74.0060152
"511",1878,"St. Peter's Church","Auburn","New York","John Brainard","Frederic D. Huntington","Gallaudet","Itinerant","once","Auburn, New York",42.9320202,-76.5672029
"512",1878,"All Saints Church","New York City","New York","William N. Dunnell","Horatio Potter","Gallaudet","promotional","once","New York City, New York",40.7127281,-74.0060152
"513",1878,"St. Paul's Church","New York City","New York","Albert U. Stanley","Horatio Potter","Gallaudet","promotional","once","New York City, New York",40.7127281,-74.0060152
"514",1878,"Church of the Holy Trinity","New York City","New York","Stephen H. Tyng","Horatio Potter","Gallaudet","promotional","once","New York City, New York",40.7127281,-74.0060152
"515",1878,"St. Luke's Church","New York City","New York","Jacob W. Diller","Abram N. Littlejohn","Gallaudet","promotional","once","New York City, New York",40.7127281,-74.0060152
"516",1878,"St. Andrew's Church","New York City","New York","Samuel Earp","Horatio Potter","Gallaudet, Chamberlain, Lewis","regular","monthly","New York City, New York",40.7127281,-74.0060152
"517",1878,"St. Mary's Church","New York City","New York","Daniel V.M. Johnson","Abram N. Littlejohn","Gallaudet, Chamberlain, Lewis","regular","monthly","New York City, New York",40.7127281,-74.0060152
"518",1878,"Christ Church","New York City","New York","Lucius W. Bancroft","Abram N. Littlejohn","Gallaudet, Chamberlain, Lewis","regular","monthly","New York City, New York",40.7127281,-74.0060152
"519",1878,"private residences","New York City","New York","","","James Lewis","occasional","intermittent","New York City, New York",40.7127281,-74.0060152
"520",1878,"","Rome","New York","","Frederic D. Huntington","Job Turner","Itinerant","","Rome, New York",43.2128473,-75.4557304
