year,facility,city,state,facilityClergy,bishop,cmdmWorker,serviceRegularity,serviceFrequency,place,lat,lng
1860,St. Stephen's Church,Milburn,New Jersey,George C. Pennell,William H. Odenheimer,Thomas Gallaudet,occasional,once,"Milburn, New Jersey",40.7247515,-74.2995152
1850,St. Stephen's Church,New York City,New York,Rev. Dr. Price,John Mayhew Wainwright,Thomas Gallaudet,regular,weekly,"New York City, New York",40.74488,-73.9844
1850,"School Room, 59 Bond St.",New York City,New York,Thomas Gallaudet,John Mayhew Wainwright,Thomas Gallaudet,regular,weekly,"New York City, New York",40.72576,-73.99246
1851,"School Room, 59 Bond St.",New York City,New York,Thomas Gallaudet,John Mayhew Wainwright,Thomas Gallaudet,regular,weekly,"New York City, New York",40.72576,-73.99246
1852,New York University Chapel,New York City,New York,Thomas Gallaudet,John Mayhew Wainwright,Thomas Gallaudet,regular,weekly,"New York City, New York",40.72974,-73.99595
1853,New York University Chapel,New York City,New York,Thomas Gallaudet,John Mayhew Wainwright,Thomas Gallaudet,regular,weekly,"New York City, New York",40.72974,-73.99595
1854,New York University Chapel,New York City,New York,Thomas Gallaudet,John Mayhew Wainwright,Thomas Gallaudet,regular,weekly,"New York City, New York",40.72974,-73.99595
1855,New York University Chapel,New York City,New York,Thomas Gallaudet,Horatio Potter,Thomas Gallaudet,regular,weekly,"New York City, New York",40.72974,-73.99595
1856,,Mabbettsville,New York,,Horatio Potter,Thomas Gallaudet,itinerant,once,"Mabbettsville, New York",41.7925937,-73.6595723
1856,St. Thomas' Church,Mamaroneck,New York,John M. Ward,Horatio Potter,Thomas Gallaudet,itinerant,once,"Mamaroneck, New York",40.9487097,-73.7326309
1856,New York University Chapel,New York City,New York,Thomas Gallaudet,Horatio Potter,Thomas Gallaudet,regular,weekly,"New York City, New York",40.72974,-73.99595
1856,,Watervliet,New York,,Horatio Potter,Thomas Gallaudet,itinerant,once,"Watervliet, New York",42.7300784,-73.7012299
1857,Presbyterian Church,Mexico,New York,,Horatio Potter,Thomas Gallaudet,itinerant,once,"Mexico, New York",43.464167,-76.234722
1857,private residence,New York City,New York,,Horatio Potter,Thomas Gallaudet,occasional,once,"New York City, New York",40.7127281,-74.0060152
1857,New York University Chapel,New York City,New York,Thomas Gallaudet,Horatio Potter,Thomas Gallaudet,regular,weekly,"New York City, New York",40.72974,-73.99595
1857,New York Historical Society,New York City,New York,Thomas Gallaudet,Horatio Potter,Thomas Gallaudet,regular,weekly,"New York City, New York",40.7365,-74.00095
1858,New York Historical Society,New York City,New York,Thomas Gallaudet,Horatio Potter,Thomas Gallaudet,regular,weekly,"New York City, New York",40.7365,-74.00095
1858,St. Peter's Church,Albany,New York,Thomas C. Pitkin,Horatio Potter,Thomas Gallaudet,promotional,once,"Albany, New York",42.6525,-73.757222
1858,St. Peter's Church,Albany,New York,Thomas C. Pitkin,Horatio Potter,Thomas Gallaudet,itinerant,once,"Albany, New York",42.6525,-73.757222
1858,St. John's Church,Buffalo,New York,William B. Ashley,William H. De Lancey,Thomas Gallaudet,promotional,once,"Buffalo, New York",42.8867166,-78.8783922
1858,St. John's Church,Buffalo,New York,William B. Ashley,William H. De Lancey,Thomas Gallaudet,itinerant,once,"Buffalo, New York",42.8867166,-78.8783922
1859,New York Historical Society,New York City,New York,Thomas Gallaudet,Horatio Potter,Thomas Gallaudet,regular,weekly,"New York City, New York",40.7365,-74.00095
1859,St. Ann's Church,New York City,New York,Thomas Gallaudet,Horatio Potter,Thomas Gallaudet,regular,weekly,"New York City, New York",40.7392,-73.99247
1859,St. Paul's Church,Albany,New York,William Rudder,Horatio Potter,Thomas Gallaudet,,,"Albany, New York",42.6525,-73.757222
1860,St. Ann's Church,New York City,New York,Thomas Gallaudet,Horatio Potter,Thomas Gallaudet,regular,weekly,"New York City, New York",40.7392,-73.99247
1861,St. Paul's Church,Albany,New York,William Rudder,Horatio Potter,Thomas Gallaudet,regular,intermmittent,"Albany, New York",42.6525,-73.757222
1861,St. Ann's Church,New York City,New York,Thomas Gallaudet,Horatio Potter,Thomas Gallaudet,regular,weekly,"New York City, New York",40.7392,-73.99247
1862,St. Paul's Church,Albany,New York,William Rudder,Horatio Potter,Thomas Gallaudet,regular,intermmittent,"Albany, New York",42.6525,-73.757222
1863,St. Paul's Church,Albany,New York,William Rudder,Horatio Potter,Thomas Gallaudet,regular,intermmittent,"Albany, New York",42.6525,-73.757222
1862,St. Ann's Church,New York City,New York,Thomas Gallaudet,Horatio Potter,Thomas Gallaudet,regular,weekly,"New York City, New York",40.7392,-73.99247
1863,St. Ann's Church,New York City,New York,Thomas Gallaudet,Horatio Potter,Thomas Gallaudet,regular,weekly,"New York City, New York",40.7392,-73.99247
1864,St. Paul's Church,Albany,New York,J. Livingston Reese,Horatio Potter,Thomas Gallaudet,regular,monthly,"Albany, New York",42.6525,-73.757222
1864,St. Ann's Church,New York City,New York,Thomas Gallaudet,Horatio Potter,Thomas Gallaudet,regular,weekly,"New York City, New York",40.7392,-73.99247
1865,St. Paul's Church,Albany,New York,J. Livingston Reese,Horatio Potter,"Gallaudet, Benjamin",regular,monthly,"Albany, New York",42.6525,-73.757222
1865,St. Paul's Church,Syracuse,New York,George M. Hills,Arthur C. Coxe,"Gallaudet, Pennell",itinerant,once,"Syracuse, New York",43.0481221,-76.1474244
1865,St. Ann's Church,New York City,New York,Thomas Gallaudet,Horatio Potter,Thomas Gallaudet,regular,weekly,"New York City, New York",40.7392,-73.99247
1865,Grace Church,Buffalo,New York,George C. Pennell,Arthur C. Coxe,George C. Pennell,regular,monthly,"Buffalo, New York",42.8867166,-78.8783922
1865,Grace Church,Rochester,New York,Israel Foote,Arthur C. Coxe,George C. Pennell,itinerant,once,"Rochester, New York",43.157285,-77.615214
1865,Zion Church,Palmyra,New York,John Leech,Arthur C. Coxe,George C. Pennell,itinerant,once,"Palmyra, New York",43.0623754,-77.2347245
1866,St. Paul's Church,Albany,New York,J. Livingston Reese,Horatio Potter,"Gallaudet, Benjamin",regular,monthly,"Albany, New York",42.6525,-73.757222
1866,St. Ann's Church,New York City,New York,Thomas Gallaudet,Horatio Potter,Thomas Gallaudet,regular,weekly,"New York City, New York",40.7392,-73.99247
1866,Grace Church,Buffalo,New York,George C. Pennell,Arthur C. Coxe,George C. Pennell,regular,monthly,"Buffalo, New York",42.8867166,-78.8783922
1867,St. Paul's Church,Albany,New York,J. Livingston Reese,Horatio Potter,"Gallaudet, Benjamin",regular,monthly,"Albany, New York",42.6525,-73.757222
1867,St. Ann's Church,New York City,New York,Thomas Gallaudet,Horatio Potter,Thomas Gallaudet,regular,weekly,"New York City, New York",40.7392,-73.99247
1867,Grace Church,Buffalo,New York,Charles G. Gilliat,Arthur C. Coxe,George C. Pennell,regular,monthly,"Buffalo, New York",42.8867166,-78.8783922
1868,St. Paul's Church,Albany,New York,J. Livingston Reese,Horatio Potter,"Gallaudet, Benjamin",regular,monthly,"Albany, New York",42.6525,-73.757222
1868,St. Ann's Church,New York City,New York,Thomas Gallaudet,Horatio Potter,Thomas Gallaudet,regular,weekly,"New York City, New York",40.7392,-73.99247
1868,Grace Church,Buffalo,New York,Charles G. Gilliat,Arthur C. Coxe,George C. Pennell,regular,monthly,"Buffalo, New York",42.8867166,-78.8783922
1869,St. Paul's Church,Albany,New York,J. Livingston Reese,William C. Doane,"Gallaudet, Benjamin",regular,monthly,"Albany, New York",42.6525,-73.757222
1869,St. John's Church,Ithaca,New York,John W. Payne,Frederic D. Huntington,Thomas Gallaudet,itinerant,once,"Ithaca, New York",42.4396039,-76.4968019
1869,St. Ann's Church,New York City,New York,Thomas Gallaudet,Horatio Potter,Thomas Gallaudet,regular,weekly,"New York City, New York",40.7392,-73.99247
1870,St. Paul's Church,Albany,New York,J. Livingston Reese,William C. Doane,"Gallaudet, Benjamin",regular,monthly,"Albany, New York",42.6525,-73.757222
1870,St. Ann's Church,New York City,New York,Thomas Gallaudet,Horatio Potter,Thomas Gallaudet,regular,weekly,"New York City, New York",40.7392,-73.99247
1871,St. Paul's Church,Albany,New York,J. Livingston Reese,William C. Doane,"Gallaudet, Benjamin",regular,monthly,"Albany, New York",42.6525,-73.757222
1871,St. Ann's Church,New York City,New York,Thomas Gallaudet,Horatio Potter,Thomas Gallaudet,regular,weekly,"New York City, New York",40.7392,-73.99247
1872,St. Paul's Church,Albany,New York,J. Livingston Reese,William C. Doane,"Gallaudet, Benjamin",regular,monthly,"Albany, New York",42.6525,-73.757222
1872,St. Ann's Church,New York City,New York,Thomas Gallaudet,Horatio Potter,Thomas Gallaudet,regular,weekly,"New York City, New York",40.7392,-73.99247
1872,St. Paul's Chapel,Troy,New York,Walker Gwynne,William C. Doane,,,,"Troy, New York",42.731667,-73.6925
1873,Grace Church,Mexico,New York,George H. Watson,Frederic D. Huntington,,,,"Mexico, New York",43.464167,-76.234722
1873,Trinity Church,Watertown,New York,Leigh R. Brewer,Frederic D. Huntington,,,,"Watertown, New York",43.9747838,-75.9107565
1873,Grace Church,Watertown,New York,John A. Staunton,Frederic D. Huntington,,,,"Watertown, New York",43.9747838,-75.9107565
1873,Grace Church,Syracuse,New York,Thomas Pattison,Frederic D. Huntington,,,,"Syracuse, New York",43.0481221,-76.1474244
1873,Trinity Church,Syracuse,New York,J.E. Pratt,Frederic D. Huntington,,,,"Syracuse, New York",43.0481221,-76.1474244
1873,St. Ann's Church,New York City,New York,Thomas Gallaudet,Horatio Potter,"Gallaudet, Chamberlain",regular,weekly,"New York City, New York",40.7392,-73.99247
1873,St. Paul's Church,Albany,New York,J. Livingston Reese,William C. Doane,Thomas B. Berry,regular,monthly,"Albany, New York",42.6525,-73.757222
1873,St. Paul's Chapel,Troy,New York,Walker Gwynne,William C. Doane,,,,"Troy, New York",42.731667,-73.6925
1873,St. Mark's Church,Tarrytown,New York,Edmund Guilbert,Horatio Potter,,,,"Tarrytown, New York",41.065586,-73.8673293
1873,St. Peter's Church,Portchester,New York,Brockholst Morgan,Horatio Potter,,,,"Portchester, New York",41.6351571,-73.5656318
1873,Zion Church,Rome,New York,Hugh L.M. Clarke,Frederic D. Huntington,,,,"Rome, New York",43.2128473,-75.4557304
1873,Trinity Church,Geneva,New York,William S. Perry,Arthur C. Coxe,,,,"Geneva, New York",42.8690271,-76.9786122
1873,St. Luke's Church,Rochester,New York,Henry Anstice,Arthur C. Coxe,,,,"Rochester, New York",43.157285,-77.615214
1873,Christ Church,Rochester,New York,W.W. Battershall,Arthur C. Coxe,,,,"Rochester, New York",43.157285,-77.615214
1873,Christ Church,Buffalo,New York,O. Witherspoon,Arthur C. Coxe,,,,"Buffalo, New York",42.8867166,-78.8783922
1873,St. Mary's Church,New York City,New York,Charles S. Knapp,Horatio Potter,,,,"New York City, New York",40.8111,-73.9118
1873,Church of the Messiah,New York City,New York,William H. Josephus,Horatio Potter,,,,"New York City, New York",40.72507,-73.99668
1874,St. Ann's Church,New York City,New York,Thomas Gallaudet,Horatio Potter,"Gallaudet, Chamberlain",regular,weekly,"New York City, New York",40.7392,-73.99247
1874,St. Paul's Church,Albany,New York,J. Livingston Reese,William C. Doane,Thomas B. Berry,regular,monthly,"Albany, New York",42.6525,-73.757222
1874,St. Mary's Church,New York City,New York,Daniel V.M. Johnson,Abram N. Littlejohn,,occasional,,"New York City, New York",40.81475,-73.95549
1874,Christ Church,Rochester,New York,Walton W. Battershall,Arthur C. Coxe,"John C. Acker, Gallaudet, Berry",regular,,"Rochester, New York",43.157285,-77.615214
1874,St. Paul's Chapel,Troy,New York,Walker Gwynne,William C. Doane,Thomas Berry,regular,monthly,"Troy, New York",42.731667,-73.6925
1874,Grace Church,Mexico,New York,Benjamin T. Hall,Frederic D. Huntington,,occasional,,"Mexico, New York",43.464167,-76.234722
1874,St. James' Church,Syracuse,New York,Joseph M. Clarke,Frederic D. Huntington,,occasional,,"Syracuse, New York",43.0481221,-76.1474244
1874,Grace Church,Cherry Valley,New York,Henry H. Oberly,William C. Doane,,occasional,,"Cherry Valley, New York",42.7956295,-74.7532018
1874,Good Shepherd,Canajoharie,New York,R. Andrews Poole,William C. Doane,,occasional,,"Canajoharie, New York",42.9056288,-74.5718073
1874,Trinity Church,Potsdam,New York,Henry R. Howard,William C. Doane,,occasional,,"Potsdam, New York",44.6697996,-74.9813349
1874,Christ Church,Buffalo,New York,Orlando Witherspoon,Arthur C. Coxe,,occasional,,"Buffalo, New York",42.8867166,-78.8783922
1874,St. Mark's Church,Tarrytown,New York,Edmund Guilbert,Horatio Potter,,occasional,,"Tarrytown, New York",41.065586,-73.8673293
1875,Trinity Church,Watertown,New York,Leigh R. Brewer,Frederic D. Huntington,Gallaudet and Berry,promotional,once,"Watertown, New York",43.9747838,-75.9107565
1875,St. Paul's Church,Albany,New York,J. Livingston Reese,William C. Doane,Gallaudet ,regular,quarterly,"Albany, New York",42.6525,-73.757222
1875,St. Ann's Church,New York City,New York,Thomas Gallaudet,Horatio Potter,"Gallaudet, Chamberlain",regular,weekly,"New York City, New York",40.7392,-73.99247
1875,St. Mary's Church,New York City,New York,Daniel V.M. Johnson,Abram N. Littlejohn,"Gallaudet, Chamberlain, Wells, Lewis",regular,monthly,"New York City, New York",40.81475,-73.95549
1875,private residences,New York City,New York,,Horatio Potter,James Lewis,occasional,intermittent,"New York City, New York",40.7127281,-74.0060152
1875,St. Mary's Church,New York City,New York,Christopher S. Stephenson,Horatio Potter,,itinerant,,"New York City, New York",40.8111,-73.9118
1875,St. Luke's Church,Rochester,New York,Henry Anstice,Arthur C. Coxe,John C. Acker,regular,weekly,"Rochester, New York",43.157285,-77.615214
1875,Trinity Church,Potsdam,New York,Henry R. Howard,William C. Doane,Thomas B. Berry,itinerant,once,"Potsdam, New York",44.6697996,-74.9813349
1875,St. Paul's Chapel,Troy,New York,Walker Gwynne,William C. Doane,Thomas Berry,regular,monthly,"Troy, New York",42.731667,-73.6925
1875,Grace Church,Mexico,New York,William L. Parker,Frederic D. Huntington,,itinerant,,"Mexico, New York",43.464167,-76.234722
1875,St. Mark's Church,Tarrytown,New York,,Horatio Potter,,itinerant,,"Tarrytown, New York",41.065586,-73.8673293
1875,St. Mark's Church,New York City,New York,J.H. Rylance,Horatio Potter,,itinerant,,"New York City, New York",40.73052,-73.98711
1875,St. Andrew's Church,New York City,New York,George B. Draper,Horatio Potter,,itinerant,,"New York City, New York",40.80894,-73.94084
1876,St. Paul's Church,Albany,New York,J. Livingston Reese,William C. Doane,Gallaudet,regular,quarterly,"Albany, New York",42.6525,-73.757222
1876,St. Ann's Church,New York City,New York,Thomas Gallaudet,Horatio Potter,"Gallaudet, Chamberlain",regular,weekly,"New York City, New York",40.7392,-73.99247
1876,St. Mary's Church,New York City,New York,Christopher S. Stephenson,Horatio Potter,"Gallaudet, Chamberlain",Itinerant,intermittent,"New York City, New York",40.8111,-73.9118
1876,St. Mary's Church,New York City,New York,Daniel V.M. Johnson,Abram N. Littlejohn,"Gallaudet, Chamberlain or Lewis",regular,monthly,"New York City, New York",40.81475,-73.95549
1876,private residences,New York City,New York,,Horatio Potter,James Lewis,occasional,intermittent,"New York City, New York",40.7127281,-74.0060152
1876,Zion Church,Rome,New York,Hugh L.M. Clarke,Frederic D. Huntington,"Gallaudet, Chamberlain",Itinerant,intermittent,"Rome, New York",43.2128473,-75.4557304
1876,St. James Church,New York City,New York,C.B. Smith,Horatio Potter,"Gallaudet, Chamberlain",Itinerant,intermittent,"New York City, New York",40.7127281,-74.0060152
1876,Grace Church,Mexico,New York,Richard M. Hayden,Frederic D. Huntington,"Gallaudet, Chamberlain",Itinerant,intermittent,"Mexico, New York",43.464167,-76.234722
1876,Trinity Church,Lansingburgh,New York,Byron J. Hall,William C. Doane,"Gallaudet, Chamberlain",Itinerant,intermittent,"Lansingburgh, New York",42.7845222,-73.6695624
1876,St. James Church,Syracuse,New York,Rev. Dr. Clarke,Frederic D. Huntington,"Gallaudet, Chamberlain",Itinerant,intermittent,"Syracuse, New York",43.0481221,-76.1474244
1876,St. Luke's Church,New York City,New York,Jacob W. Diller,Abram N. Littlejohn,"Gallaudet, Chamberlain",Itinerant,intermittent,"New York City, New York",40.6844,-73.96722
1876,St. Ann's Church,New York City,New York,Noah H. Schenck,Abram N. Littlejohn,"Gallaudet, Chamberlain",Itinerant,intermittent,"New York City, New York",40.69222,-73.99343
1876,Grace Church,New York City,New York,William A. Snively,Abram N. Littlejohn,"Gallaudet, Chamberlain",Itinerant,intermittent,"New York City, New York",40.6941,-73.99668
1876,St. Paul's Church,New York City,New York,Albert U. Stanley,Horatio Potter,"Gallaudet, Chamberlain",Itinerant,intermittent,"New York City, New York",40.6432,-74.07576
1876,Grace Church,Utica,New York,Rev. Dr. Van Deusen,Frederic D. Huntington,"Gallaudet, Chamberlain",Itinerant,intermittent,"Utica, New York",43.1009031,-75.2326641
1876,St. Mark's Church,New York City,New York,Samuel M. Haskins,Abram N. Littlejohn,"Gallaudet, Chamberlain",Itinerant,intermittent,"New York City, New York",40.71688,-73.95896
1876,St. James' Church,New York City,New York,Charles W. Homer,Abram N. Littlejohn,"Gallaudet, Chamberlain",Itinerant,intermittent,"New York City, New York",40.6886,-73.96426
1876,Church of the Intercession,New York City,New York,E.W. Donald,Horatio Potter,"Gallaudet, Chamberlain",Itinerant,intermittent,"New York City, New York",40.83293,-73.9456
1876,St. Peter's Church,Port Chester,New York,Brockholst Morgan,Horatio Potter,"Gallaudet, Chamberlain",Itinerant,intermittent,"Port Chester, New York",41.0017643,-73.6656834
1876,Trinity Church,Granville,New York,Thomas B. Berry,William C. Doane,"Gallaudet, Chamberlain",Itinerant,intermittent,"Granville, New York",43.408041,-73.259583
1876,Grace Church,Cherry Valley,New York,Reeve Hobbie,William C. Doane,"Gallaudet, Chamberlain",Itinerant,intermittent,"Cherry Valley, New York",42.7956295,-74.7532018
1876,St. Paul's Church,Kinderhook,New York,Newton Dexter,William C. Doane,"Gallaudet, Chamberlain",Itinerant,intermittent,"Kinderhook, New York",42.3953617,-73.6978983
1876,Trinity Church,Potsdam,New York,Henry R. Howard,William C. Doane,George C. Pennell,itinerant,intermittent,"Potsdam, New York",44.6697996,-74.9813349
1876,St. Luke's Church,Rochester,New York,Henry Anstice,Arthur C. Coxe,John C. Acker,regular,weekly,"Rochester, New York",43.157285,-77.615214
1876,St. Paul's Church,Troy,New York,Francis Harison,William C. Doane,Thomas Berry,regular,monthly,"Troy, New York",42.731667,-73.6925
1877,St. Ann's Church,New York City,New York,Thomas Gallaudet,Horatio Potter,"Gallaudet, Chamberlain",regular,weekly,"New York City, New York",40.7392,-73.99247
1877,St. Paul's Church,Albany,New York,J. Livingston Reese,William C. Doane,Gallaudet,regular,quarterly,"Albany, New York",42.6525,-73.757222
1877,St. Luke's Church,Rochester,New York,Henry Anstice,Arthur C. Coxe,Gallaudet,itinerant,once,"Rochester, New York",43.157285,-77.615214
1877,Church of the Intercession,New York City,New York,E. Winchester Donald,Horatio Potter,Gallaudet,occasional,intermittent,"New York City, New York",40.83293,-73.9456
1877,St. Luke's Church,New York City,New York,Isaac H. Tuttle,Horatio Potter,Gallaudet,promotional,once,"New York City, New York",40.73283,-74.00676
1877,Church of the Redeemer,New York City,New York,J.W. Shackelford,Horatio Potter,Gallaudet,promotional,once,"New York City, New York",40.62592,-74.0272
1877,Zion Church,Rome,New York,Hugh L.M. Clarke,Frederic D. Huntington,Gallaudet and Mann,Itinerant,once,"Rome, New York",43.2128473,-75.4557304
1877,Trinity Church,Granville,New York,Thomas B. Berry,William C. Doane,"Gallaudet, Berry",occasional,intermittent,"Granville, New York",43.408041,-73.259583
1877,St. Mary's Church,New York City,New York,Charles C. Adams,Horatio Potter,"Gallaudet, Chamberlain",Itinerant,intermittent,"New York City, New York",40.8111,-73.9118
1877,St. Mary's Church,New York City,New York,Daniel V.M. Johnson,Abram N. Littlejohn,"Gallaudet, Chamberlain, Lewis",regular,monthly,"New York City, New York",40.81475,-73.95549
1877,Grace Church,Elmira,New York,Francis D. Hoskins,Frederic D. Huntington,"Gallaudet, Mann, Turner",Itinerant,once ,"Elmira, New York",42.0897965,-76.8077338
1877,Trinity Church,Potsdam,New York,Henry R. Howard,William C. Doane,George C. Pennell,occasional,intermittent,"Potsdam, New York",44.6697996,-74.9813349
1877,private residences,New York City,New York,,,James Lewis,occasional,intermittent,"New York City, New York",40.7127281,-74.0060152
1877,,New York City,New York,,,Job Turner,Itinerant,intermittent,"New York City, New York",40.7127281,-74.0060152
1877,St Paul's Church,Owego,New York,James H. Kidder,Frederic D. Huntington,Job Turner,Itinerant,once,"Owego, New York",42.1033319,-76.2621898
1877,St. Luke's Church,Rochester,New York,Henry Anstice,Arthur C. Coxe,John C. Acker,regular,weekly,"Rochester, New York",43.157285,-77.615214
1877,St. James' Church,Pulaski,New York,James P. Foster,Frederic D. Huntington,Mann and Gallaudet,promotional,once,"Pulaski, New York",43.567014,-76.127703
1877,St. Paul's Church,Troy,New York,Francis Harison,William C. Doane,Thomas Berry,regular,monthly,"Troy, New York",42.731667,-73.6925
1878,St. Ann's Church,New York City,New York,Thomas Gallaudet,Horatio Potter,"Gallaudet, Chamberlain, Lewis",regular,weekly,"New York City, New York",40.7392,-73.99247
1878,St. Paul's Church,Albany,New York,J. Livingston Reese,William C. Doane,Gallaudet,regular,quarterly,"Albany, New York",42.6525,-73.757222
1878,St. Paul's Church,Troy,New York,Francis Harrison,William C. Doane,Gallaudet,,,"Troy, New York",42.731667,-73.6925
1878,Trinity Church,Geneva,New York,Henry W. Nelson Jr.,Arthur C. Coxe,Gallaudet,itinerant,intermittent,"Geneva, New York",42.8690271,-76.9786122
1878,St. Ann's Church,New York City,New York,Noah H. Schenck,Abram N. Littlejohn,Gallaudet,regular,monthly,"New York City, New York",40.69222,-73.99343
1878,Christ Church,New York City,New York,Alfred H. Partridge,Abram N. Littlejohn,Gallaudet,occasional,monthly,"New York City, New York",40.70865,-73.95661
1878,Zion Church,Rome,New York,Hugh L.M. Clarke,Frederic D. Huntington,Gallaudet,Itinerant,intermittent,"Rome, New York",43.2128473,-75.4557304
1878,St. Luke's Church,New York City,New York,Isaac H. Tuttle,Horatio Potter,Gallaudet,promotional,once,"New York City, New York",40.73283,-74.00676
1878,St John's Church,Cohoes,New York,Walker Gwynne,William C. Doane,Gallaudet,Itinerant,once,"Cohoes, New York",42.7742446,-73.7001187
1878,Christ Church,Ballston Spa,New York,Walter Delafield,William C. Doane,Gallaudet,Itinerant,once,"Ballston Spa, New York",43.0009087,-73.8490111
1878,Church of the Intercession,New York City,New York,Elijah W. Donald,Horatio Potter,Gallaudet,Itinerant,once,"New York City, New York",40.83293,-73.9456
1878,Bethesda Church,Saratoga Springs,New York,Joseph Carey,William C. Doane,Gallaudet,Itinerant,once,"Saratoga Springs, New York",43.0821793,-73.7853915
1878,Church of the Holy Spirit,New York City,New York,Edmund Guilbert,Horatio Potter,Gallaudet,promotional,once,"New York City, New York",40.76163,-73.96988
1878,St. Peter's Church,Auburn,New York,John Brainard,Frederic D. Huntington,Gallaudet,Itinerant,once,"Auburn, New York",42.9320202,-76.5672029
1878,All Saints Church,New York City,New York,William N. Dunnell,Horatio Potter,Gallaudet,promotional,once,"New York City, New York",40.71416,-73.98339
1878,St. Paul's Church,New York City,New York,Albert U. Stanley,Horatio Potter,Gallaudet,promotional,once,"New York City, New York",40.6432,-74.07576
1878,Church of the Holy Trinity,New York City,New York,Stephen H. Tyng,Horatio Potter,Gallaudet,promotional,once,"New York City, New York",40.78248,-73.94974
1878,St. Luke's Church,New York City,New York,Jacob W. Diller,Abram N. Littlejohn,Gallaudet,promotional,once,"New York City, New York",40.6844,-73.96722
1878,St. Andrew's Church,New York City,New York,Samuel Earp,Horatio Potter,"Gallaudet, Chamberlain, Lewis",regular,monthly,"New York City, New York",40.80894,-73.94084
1878,St. Mary's Church,New York City,New York,Daniel V.M. Johnson,Abram N. Littlejohn,"Gallaudet, Chamberlain, Lewis",regular,monthly,"New York City, New York",40.81475,-73.95549
1878,Christ Church,New York City,New York,Lucius W. Bancroft,Abram N. Littlejohn,"Gallaudet, Chamberlain, Lewis",regular,monthly,"New York City, New York",40.70865,-73.95661
1878,private residences,New York City,New York,,,James Lewis,occasional,intermittent,"New York City, New York",40.7127281,-74.0060152
1878,,Rome,New York,,Frederic D. Huntington,Job Turner,Itinerant,,"Rome, New York",43.2128473,-75.4557304
1878,,New York City,New York,,,Job Turner,Itinerant,,"New York City, New York",40.7127281,-74.0060152
1878,New York Institution for Deaf Mutes,New York City,New York,,,Job Turner,Itinerant,,"New York City, New York",40.7127281,-74.0060152
1878,St. Luke's Church,Rochester,New York,Henry Anstice,Arthur C. Coxe,John C. Acker,regular,weekly,"Rochester, New York",43.157285,-77.615214
1878,Church of the Messiah,Glens Falls,New York,Russell A. Olin,William Croswell Doane,Thomas Gallaudet,Itinerant,once,"Glens Falls, New York",43.309941,-73.644447
1878,Grace Church,Mexico,New York,Joseph Cross,Frederic D. Huntington,"Turner, Gallaudet",Itinerant,intermittent,"Mexico, New York",43.464167,-76.234722
1878,St. John's Church,Buffalo,New York,William H. Hughes,Arthur C. Coxe,Mann and Gallaudet,itinerant,intermittent,"Buffalo, New York",42.8867166,-78.8783922
1879,St. Ann's Church,New York City,New York,Thomas Gallaudet,Horatio Potter,"Gallaudet, Chamberlain, Lewis, Wells",regular,weekly,"New York City, New York",40.7392,-73.99247
1878,John's Church,Buffalo,New York,William M. Hughes,Arthur C. Coxe,Austin Mann,itinerant,,"Buffalo, New York",42.8867166,-78.8783922
1879,John's Church,Buffalo,New York,William M. Hughes,Arthur C. Coxe,Turner,itinerant,,"Buffalo, New York",42.8867166,-78.8783922
1879,Church of the Redeemer,Astoria,New York,Edmund D. Cooper,Abram N. Littlejohn,Chamberlain,promotional,once,"Astoria, New York",40.7720145,-73.9302673
1879,Church of the Holy Comforter,Poughkeepsie,New York,Robert F. Crary,Horatio Potter,Chamberlain,promotional,once,"Poughkeepsie, New York",41.7065539,-73.9283672
1879,Christ Church,New York City,New York,George D. Johnson,Horatio Potter,Gallaudet,promotional,once,"New York City, New York",40.70865,-73.95661
1879,Church of the Ascension,New York City,New York,C. Ellis Stevens,Abram N. Littlejohn,Gallaudet,itinerant,once,"New York City, New York",40.7119,-73.94822
1879,Trinity Church,Mount Vernon,New York,Stephen F. Holmes,Horatio Potter,Gallaudet,promotional,once,"Mount Vernon, New York",40.9125815,-73.8370786
1879,Zion Church,Dobbs Ferry,New York,George B. Reese Jr.,Horatio Potter,Gallaudet,promotional,once,"Dobbs Ferry, New York",41.0110045,-73.8714145
1879,Church of the Intercession,New York City,New York,E. Winchester Donald,Horatio Potter,Gallaudet,itinerant,once,"New York City, New York",40.83293,-73.9456
1879,Trinity Church,Asbury Park,New Jersey,William H Capers,John Scarborough,Gallaudet,promotional,,"Asbury Park, New Jersey",40.2203907,-74.0120817
1879,Bethesda Church,Saratoga Springs,New York,Joseph Carey,William C. Doane,Gallaudet and Mann,Itinerant,once,"Saratoga Springs, New York",43.0821793,-73.7853915
1879,St. Luke's Church,Rochester,New York,Henry Anstice,Arthur C. Coxe,John C. Acker,regular,weekly,"Rochester, New York",43.157285,-77.615214
1879,St. Ann's Church,New York City,New York,Noah H. Schenck,Abram N. Littlejohn,Lewis,regular,monthly,"New York City, New York",40.69222,-73.99343
1879,St. Paul's Church,Albany,New York,Rev. J. Livingston Reese,William C. Doane,Lewis,regular,quarterly,"Albany, New York",42.6525,-73.757222
1879,St. Andrew's Church,New York City,New York,Francis Lobdell,Horatio Potter,"Lewis, Chamberlain",regular,monthly,"New York City, New York",40.80894,-73.94084
1879,Trinity Church,Buffalo,New York,Edward Ingersoll,Arthur C. Coxe,Mann and Gallaudet,itinerant,once,"Buffalo, New York",42.8867166,-78.8783922
